,NOSE_TIP,PH_BULB,NERVE_RING,angle
0,"[371.1013489, 40.44231415]","[381.8175964, 65.65522766]","[394.0936279, 108.2116165]",6.94
1,"[367.9489746, 33.67369843]","[376.1738281, 65.92353821]","[389.1235046, 106.1209412]",-3.55
2,"[371.002594, 29.1723671]","[371.4247131, 66.01345062]","[384.100647, 109.7784348]",-15.5
3,"[370.7839355, 32.25579834]","[367.5740356, 65.65866852]","[379.3683167, 111.6579666]",-19.87
4,"[371.2561951, 33.23152542]","[366.0174561, 67.03505707]","[374.6664734, 109.9447937]",-20.21
5,"[372.8545532, 35.40335846]","[366.349823, 68.90023041]","[372.7753906, 116.298027]",-18.71
6,"[385.963501, 40.52873611]","[368.7883301, 66.98967743]","[366.321167, 107.9533539]",-29.54
7,"[401.1233521, 44.73196411]","[375.3164063, 62.20273972]","[364.5438232, 93.16414642]",-36.72
8,"[405.033905, 45.91400528]","[382.6963196, 66.9637146]","[365.7034302, 94.63010406]",-15.14
9,"[405.8008728, 42.71474838]","[388.6200256, 70.58126068]","[369.0263977, 98.10429382]",3.79
10,"[404.282135, 38.33556366]","[389.0036926, 73.71842957]","[368.8806458, 102.1256332]",11.96
11,"[419.1127014, 44.3177948]","[393.8770447, 66.98638916]","[372.4524231, 98.08352661]",-13.5
12,"[425.3604431, 53.23641205]","[398.1624146, 69.70554352]","[373.2404785, 97.16268158]",-16.57
13,"[428.6958313, 52.72001266]","[402.1013184, 75.32187653]","[376.3743591, 97.89090729]",-0.9
14,"[253.8370514, 403.8037109]","[401.7705994, 80.2305603]","[373.0626831, 107.8241959]",-158.44
15,"[255.0466614, 407.6235657]","[256.180481, 363.7534485]","[266.3099976, 334.8172302]",17.81
16,"[414.8600464, 41.61925888]","[411.0449524, 75.68023682]","[388.9610596, 105.9211273]",29.75
17,"[409.2623291, 40.12130737]","[409.3631287, 73.26069641]","[392.2930603, 104.1692581]",29.09
18,"[411.0397034, 37.76647186]","[406.662384, 73.12602234]","[391.4622498, 110.6642303]",14.99
19,"[418.4810791, 41.00450516]","[403.5646362, 69.05120087]","[391.2724609, 109.4389648]",-11.08
20,"[421.8496704, 40.82727051]","[403.6170349, 69.90444946]","[390.2240295, 109.4701996]",-13.39
21,"[425.7428894, 46.22451019]","[405.1208191, 74.7307663]","[388.0244141, 109.338089]",-9.59
22,"[433.4680176, 53.82730865]","[406.135437, 68.0229187]","[389.4525452, 99.30706024]",-34.48
23,"[441.749115, 62.27483749]","[412.0306702, 70.2341156]","[389.9684143, 93.69506073]",-31.77
24,"[441.9505615, 54.41733551]","[416.9365845, 75.91407776]","[392.1979065, 99.70393372]",-3.2
25,"[417.7061157, 46.11039734]","[419.1912842, 78.39420319]","[393.6610107, 115.137207]",37.43
